#N, #batchCount, #result, #GPUtimeInMs, #CPUtime1InMs, #CPUtime4InMs, #CPUtime8InMs, #CPUtime16InMs, #memMB, #memByte
30, 100000, 0, 144.924000, 1971.060000, 485.545000, 256.130000, 146.312000, 392.150879, 411200000
31, 100000, 0, 176.421000, 2229.160000, 535.869000, 273.615000, 150.933000, 404.357910, 424000000
32, 100000, 0, 140.168000, 2019.191000, 496.774000, 264.215000, 146.774000, 416.564941, 436800000
1, 250000, 0, 46.317000, 58.467000, 30.288000, 25.711000, 26.222000, 95.367432, 100000000
2, 250000, 0, 41.105000, 133.013000, 57.221000, 33.055000, 26.803000, 125.885010, 132000000
3, 250000, 0, 48.400000, 212.618000, 83.878000, 46.729000, 30.947000, 156.402588, 164000000
4, 250000, 0, 48.007000, 296.361000, 104.274000, 60.341000, 36.456000, 186.920166, 196000000
5, 250000, 0, 72.180000, 390.206000, 132.532000, 76.477000, 43.498000, 217.437744, 228000000
6, 250000, 0, 92.015000, 490.260000, 159.971000, 87.881000, 50.328000, 247.955322, 260000000
7, 250000, 0, 113.149000, 601.134000, 174.922000, 105.674000, 58.719000, 278.472900, 292000000
8, 250000, 0, 65.369000, 713.911000, 201.676000, 115.248000, 69.478000, 308.990479, 324000000
9, 250000, 0, 129.533000, 844.453000, 236.424000, 133.267000, 78.650000, 339.508057, 356000000
10, 250000, 0, 123.762000, 976.400000, 267.397000, 148.865000, 84.645000, 370.025635, 388000000
11, 250000, 0, 149.484000, 1135.821000, 295.517000, 164.919000, 94.053000, 400.543213, 420000000
12, 250000, 0, 99.910000, 1232.013000, 324.865000, 174.143000, 105.239000, 431.060791, 452000000
13, 250000, 0, 169.354000, 1434.155000, 364.807000, 194.889000, 113.062000, 461.578369, 484000000
14, 250000, 0, 151.267000, 1556.647000, 396.436000, 211.479000, 123.475000, 492.095947, 516000000
15, 250000, 0, 193.257000, 1785.594000, 441.081000, 235.809000, 131.489000, 522.613525, 548000000
16, 250000, 0, 146.591000, 1813.002000, 456.901000, 240.669000, 137.894000, 553.131104, 580000000
17, 250000, 0, 208.655000, 2135.190000, 518.723000, 273.865000, 148.551000, 583.648682, 612000000
18, 250000, 0, 197.137000, 2236.375000, 548.829000, 285.874000, 157.426000, 614.166260, 644000000
19, 250000, 0, 218.513000, 2549.080000, 611.342000, 323.932000, 170.251000, 644.683838, 676000000
20, 250000, 0, 174.315000, 2544.441000, 625.756000, 321.286000, 174.518000, 675.201416, 708000000
21, 250000, 0, 263.653000, 2984.216000, 712.447000, 361.657000, 198.375000, 705.718994, 740000000
22, 250000, 0, 248.475000, 3041.561000, 738.831000, 376.299000, 205.394000, 736.236572, 772000000
23, 250000, 0, 263.625000, 3430.866000, 808.053000, 411.603000, 220.508000, 766.754150, 804000000
24, 250000, 0, 209.556000, 3291.788000, 796.979000, 409.516000, 217.474000, 797.271729, 836000000
25, 250000, 0, 317.915000, 3909.389000, 918.313000, 460.256000, 248.257000, 827.789307, 868000000
26, 250000, 0, 296.827000, 3938.377000, 949.566000, 480.012000, 257.531000, 858.306885, 900000000
27, 250000, 0, 316.215000, 4441.125000, 1039.463000, 515.207000, 274.979000, 888.824463, 932000000
28, 250000, 0, 313.088000, 4279.338000, 1030.227000, 519.295000, 271.350000, 919.342041, 964000000
29, 250000, 0, 368.087000, 5059.051000, 1159.662000, 579.490000, 299.618000, 949.859619, 996000000
30, 250000, 0, 369.989000, 4928.799000, 1177.507000, 592.993000, 312.061000, 980.377197, 1028000000
31, 250000, 0, 390.589000, 5564.111000, 1278.358000, 634.442000, 328.436000, 1010.894775, 1060000000
32, 250000, 0, 347.529000, 5045.512000, 1204.482000, 606.587000, 314.289000, 1041.412354, 1092000000
1, 500000, 0, 81.158000, 111.822000, 56.867000, 48.567000, 45.975000, 190.734863, 200000000
2, 500000, 0, 76.097000, 262.633000, 98.421000, 60.751000, 48.602000, 251.770020, 264000000
3, 500000, 0, 92.484000, 425.049000, 138.493000, 86.144000, 59.517000, 312.805176, 328000000
4, 500000, 0, 91.079000, 591.758000, 181.272000, 109.320000, 66.175000, 373.840332, 392000000
5, 500000, 0, 140.818000, 778.077000, 231.225000, 126.901000, 75.656000, 434.875488, 456000000
6, 500000, 0, 178.213000, 979.732000, 276.071000, 150.134000, 91.457000, 495.910645, 520000000
7, 500000, 0, 222.147000, 1198.038000, 327.644000, 178.551000, 106.074000, 556.945801, 584000000
8, 500000, 0, 129.119000, 1427.490000, 373.630000, 200.941000, 124.591000, 617.980957, 648000000
9, 500000, 0, 244.926000, 1686.603000, 431.780000, 235.424000, 135.089000, 679.016113, 712000000
10, 500000, 0, 228.471000, 1948.050000, 500.324000, 259.422000, 145.973000, 740.051270, 776000000
11, 500000, 0, 278.908000, 2273.707000, 563.507000, 296.536000, 162.015000, 801.086426, 840000000
12, 500000, 0, 175.982000, 2463.555000, 617.133000, 322.574000, 175.064000, 862.121582, 904000000
13, 500000, 0, 350.263000, 2859.612000, 703.664000, 361.852000, 199.942000, 923.156738, 968000000
14, 500000, 0, 293.991000, 3099.842000, 760.114000, 390.745000, 209.174000, 984.191895, 1032000000
15, 500000, 0, 324.579000, 3568.150000, 853.288000, 434.904000, 232.134000, 1045.227051, 1096000000
16, 500000, 0, 216.044000, 3625.111000, 886.342000, 453.973000, 238.549000, 1106.262207, 1160000000
17, 500000, 0, 417.245000, 4266.172000, 1009.816000, 514.534000, 268.237000, 1167.297363, 1224000000
18, 500000, 0, 360.121000, 4469.055000, 1066.925000, 543.707000, 282.211000, 1228.332520, 1288000000
19, 500000, 0, 400.310000, 5104.594000, 1193.526000, 602.852000, 312.781000, 1289.367676, 1352000000
20, 500000, 0, 396.057000, 5087.053000, 1225.855000, 615.597000, 321.356000, 1350.402832, 1416000000
21, 500000, 0, 468.518000, 5962.244000, 1387.920000, 698.049000, 359.138000, 1411.437988, 1480000000
22, 500000, 0, 476.099000, 6082.822000, 1443.367000, 722.017000, 373.839000, 1472.473145, 1544000000
23, 500000, 0, 494.308000, 6864.299000, 1582.054000, 786.024000, 403.996000, 1533.508301, 1608000000
24, 500000, 0, 460.806000, 6580.855000, 1566.310000, 783.418000, 404.986000, 1594.543457, 1672000000
25, 500000, 0, 543.053000, 7814.050000, 1800.981000, 890.961000, 456.401000, 1655.578613, 1736000000
26, 500000, 0, 580.044000, 7879.523000, 1872.239000, 926.441000, 479.109000, 1716.613770, 1800000000
27, 500000, 0, 652.564000, 8879.444000, 2030.633000, 1003.855000, 513.894000, 1777.648926, 1864000000
28, 500000, 0, 525.682000, 8566.504000, 2025.671000, 1009.734000, 513.693000, 1838.684082, 1928000000
29, 500000, 0, 742.354000, 10568.264000, 2287.311000, 1123.194000, 577.217000, 1899.719238, 1992000000
30, 500000, 0, 709.216000, 10052.624000, 2315.504000, 1144.735000, 587.254000, 1960.754395, 2056000000
31, 500000, -1, -1, -1, -1, -1, -1, -1, 2120000000
32, 500000, -1, -1, -1, -1, -1, -1, -1, -2110967296
1, 750000, 0, 111.691000, 167.307000, 76.218000, 61.662000, 63.626000, 286.102295, 300000000
2, 750000, 0, 105.913000, 397.814000, 134.932000, 84.815000, 74.185000, 377.655029, 396000000
3, 750000, 0, 128.727000, 641.542000, 198.971000, 113.574000, 83.053000, 469.207764, 492000000
4, 750000, 0, 126.018000, 889.724000, 263.730000, 149.679000, 94.147000, 560.760498, 588000000
5, 750000, 0, 192.289000, 1167.782000, 328.842000, 184.063000, 109.542000, 652.313232, 684000000
6, 750000, 0, 287.848000, 1469.710000, 397.582000, 217.040000, 122.987000, 743.865967, 780000000
7, 750000, 0, 338.743000, 1796.820000, 471.270000, 248.557000, 139.259000, 835.418701, 876000000
8, 750000, 0, 189.622000, 2142.080000, 546.481000, 293.360000, 159.765000, 926.971436, 972000000
9, 750000, 0, 375.626000, 2528.263000, 636.368000, 333.030000, 180.918000, 1018.524170, 1068000000
